Detector, Descriptor, Average number of Keypoints in ROI per frame, Average number of Matched Keypoints in ROI per consecutive frames, Average Detector speed per frame (ms), Average Descriptor speed per frame(ms)
SHITOMASI, BRIEF, 117, 100, 10.544399, 1.258699
SHITOMASI, ORB, 117, 104, 9.503788, 1.0246182
SHITOMASI, FREAK, 117, 85, 8.882505, 21.41498
SHITOMASI, SIFT, 117, 69, 8.863773, 12.48468
HARRIS, BRIEF, 56, 50, 7.799696, 1.494087
HARRIS, ORB, 56, 51, 8.302539, 1.09663
HARRIS, FREAK, 56, 44, 7.590355, 20.67358
HARRIS, SIFT, 56, 38, 7.858398, 12.11755
FAST, BRIEF, 167, 131, 38.44942, 4.115849
FAST, ORB, 167, 140, 39.04107, 1.2784849
FAST, FREAK, 167, 131, 37.80746, 20.9685
FAST, SIFT, 167, 97, 37.73837, 16.6994
BRISK, BRIEF, 276, 168, 135.0807, 4.977976
BRISK, ORB, 276, 189, 132.3619, 1.550612
BRISK, FREAK, 276, 169, 132.6728, 21.07391
BRISK, SIFT, 276, 68, 136.9968, 20.79583
ORB, BRIEF, 116, 84, 6.663565, 5.796368
ORB, ORB, 116, 60, 5.70612, 0.9747729
ORB, FREAK, 116, 46, 5.142383, 18.22919
ORB, SIFT, 116, 47, 5.506677, 24.89549
AKAZE, BRIEF, 167, 131, 39.46011, 4.086291
AKAZE, ORB, 167, 140, 41.1233, 1.2278791
AKAZE, FREAK, 167, 131, 39.93267, 21.29816
AKAZE, AKAZE, 167, 139, 39.57924, 37.12786
AKAZE, SIFT, 167, 97, 39.63649, 17.66599
SIFT, ORB, 138, 78, 60.97773, 1.1827756
SIFT, FREAK, 138, 66, 59.7437, 21.42844
